IO_0,K,SB1_0,SB2_0,SB3_0,SB4_0,SB5_0,SB6_0,SO_0,b1,b2,b3,b4,b5,b6,delta,psi,rho,sigma_dem,sigma_env,tau,logLik,logLik_se
8.547443813386008e-4,6,4069,4565,4410,4616,4305,4032,0.11783835399364001,3.639283875889253,-1.3975269051479533,1.8957244737496737,6.316151814526575,5.127711738142584,2.549747713904963,0.016666666666666666,0.0026071896286186257,0.012635640264850522,0.04592735955992792,0.4638526221389362,9.056763180366423e-4,-794.6786695533297,0.06168229959329323
7.252455655095463e-4,6,4069,4565,4410,4616,4305,4032,0.15323219843653155,3.0035113133346365,0.19532583924043895,1.6777876398915763,6.17689643030389,4.838652403384349,2.687818638209853,0.01666666666666666,0.00199655511726463,0.01406096208385024,0.04058139419337436,0.44438386373660793,0.00156487394648776,-794.8331127089733,0.09018581393263306
0.0010853668490207206,6,4069,4565,4410,4616,4305,4032,0.14854529864428032,3.01982311387018,0.31688519841395957,0.8503055645791412,6.361736734436086,4.815006661200174,2.619567878375294,0.016666666666666666,0.0020080111968565303,0.014681896753658262,0.03903652836035016,0.4426197796735614,0.001574444234698081,-794.8598588512551,0.09108798466745699
8.841894518484209e-4,6,4069,4565,4410,4616,4305,4032,0.14660206375334395,3.2885206673324836,-0.5885871610275994,1.4683691791240912,6.263394669409803,4.934135029536962,2.5302994020020857,0.016666666666666666,0.0020856406788585875,0.01430641280783759,0.03713034082365736,0.4850151192335915,0.0013000606750098568,-794.8752982514776,0.0956003959088763
0.001870813391838379,6,4069,4565,4410,4616,4305,4032,0.13632552001665765,3.00315943687743,0.8232427245354342,1.131530919776261,6.467484114302417,4.841068021363171,2.7134680101592727,0.016666666666666666,0.002393321500154684,0.012563217653272143,0.042925685421546546,0.4405792282930456,0.0014955348732966808,-794.9048493607792,0.07873036516168287
6.57693853831252e-4,6,4069,4565,4410,4616,4305,4032,0.1291827209160661,3.1017085606501644,1.3104873345074333,1.4021441175285458,6.492970750574631,4.797676216590856,2.8029261372944796,0.016666666666666666,0.002368932583972767,0.012515756632389671,0.04764480421481524,0.43045360274419336,0.00120876381494358,-794.9240969051382,0.07215891904858972
7.474818566271586e-4,6,4069,4565,4410,4616,4305,4032,0.12508077926548505,3.090373984934579,1.452122217035606,1.6895030674041067,6.3960560113297875,5.0886042683334,2.709861920239522,0.016666666666666666,0.0021578907785803477,0.01286783974642331,0.040415522240840086,0.4898484256949878,8.824775910364742e-4,-794.9725362519389,0.07013128979644823
0.00165227041998703,6,4069,4565,4410,4616,4305,4032,0.12983880862947914,3.544010293239804,-0.7692141187115963,1.8155638063064328,6.2143897921259805,5.060027036436793,2.509456322526269,0.01666666666666666,0.00242046748640849,0.01282748315735759,0.04055761437526818,0.4984170982536638,9.498121769042978e-4,-794.9793523963448,0.10158686300533144
7.944608209666942e-4,6,4069,4565,4410,4616,4305,4032,0.14189493625550698,3.130387925472075,0.05338333841889382,1.3623535170761387,6.220614492269349,4.91241351463086,2.6348485630529632,0.016666666666666666,0.0019167604366357983,0.014903347392780972,0.03665535779098206,0.470495136287656,3.2522123874503e-4,-795.0033920899608,0.1025682853696042
0.00107397697434048,6,4069,4565,4410,4616,4305,4032,0.1318947679542541,3.72956915884625,-2.5664739634360108,1.873894032838156,6.036176403777136,5.083246586374645,2.4327516256156545,0.01666666666666666,0.00221766493287301,0.01453273804757794,0.04001746184135594,0.4888613841559786,2.644206079819269e-4,-795.0223307909524,0.08531692792854839
0.0014197664636734111,6,4069,4565,4410,4616,4305,4032,0.1228199076009836,3.136143455331162,-0.10359926509512225,1.6488298909042074,6.374515573292047,4.953660654299469,2.697056836177146,0.016666666666666666,0.0022646853790842347,0.013448646412649506,0.040522847793976656,0.497601576279893,8.699662664240838e-4,-795.0704070638196,0.08327748739852531
0.0010257135433196518,6,4069,4565,4410,4616,4305,4032,0.15139793113867894,3.245819471280909,0.3661723996871439,1.7461872731048025,6.128484852108045,4.9621059632775,2.4900919235424426,0.016666666666666666,0.0019474871326387992,0.013437318377968589,0.04400634632013898,0.4436044456900665,0.0015217936194420213,-795.1271210195144,0.06408076469958036
0.0012526269836756476,6,4069,4565,4410,4616,4305,4032,0.13481761397971148,3.2789348561985765,0.2572624640410361,1.6682550271213132,6.171042574694816,5.046969605477339,2.6244858284755783,0.016666666666666666,0.0021224643814905042,0.012719063536320052,0.04153333484421545,0.4879695786977848,9.625592537771545e-4,-795.1451240951278,0.07323623976249476
0.0012797062655076515,6,4069,4565,4410,4616,4305,4032,0.1328875439618018,3.511709740976849,-0.31993533378592315,2.017345419565237,6.129384840078533,5.059949749979465,2.5583640034148756,0.016666666666666666,0.0023713236340927035,0.012214189726920536,0.04068082031806245,0.48946628418210725,0.0012375175384204086,-795.1511406849797,0.10998861099620276
