rho,b1,b2,b3,b4,b5,b6,delta,IO_0,psi,SB1_0,SB2_0,SB3_0,SB4_0,SB5_0,SB6_0,sigma_dem,sigma_env,SO_0,tau,loglik,loglik.se
0.011870887786706292,3.3202190467580586,0.8735973705956707,2.1679340442594657,6.266519734771237,5.276550620755036,2.7335019411454695,0.016666666666666666,9.929959740556209e-4,0.0026847508714641353,4032,4304.999999999999,4616,4410,4565,4069,0.04303722850311211,0.4929388024453939,0.10594850780050315,0.0011541157324027047,-794.6941795347864,0.1425005640361313
0.013620689655172411,2.7403650777460338,1.464300412193976,1.6165822260374103,6.1475262182001735,4.751987097881538,2.6963855335654743,0.016666666666666666,3.201777126675043e-4,0.0016432572832411208,4032.000000000001,4305,4615.999999999999,4410,4565.000000000001,4069,0.035824820424870556,0.4849560555427333,0.17679098583376107,0.0011612410629639903,-794.7276882531216,0.15994216037081305
0.011923178346986753,2.962273171386983,1.041682205198745,1.4734968016179617,6.390154560441435,4.8844344695681174,2.966463397890484,0.01666666666666667,0.0014103622693715774,0.0023071264631913664,4032,4305,4616,4410.000000000001,4565,4069,0.03636456813154344,0.4937488524319324,0.13142659460177983,0.0011576991364218017,-794.81058818434,0.11549472851708685
0.01413793103448276,2.949565398633051,0.6408070971476809,1.5903540396473972,6.037597960696363,4.821564518740164,2.5736809817160555,0.016666666666666666,6.463794043849016e-4,0.0015389090898771426,4031.9999999999995,4304.999999999999,4616,4409.999999999999,4564.999999999999,4068.9999999999995,0.030658182140532075,0.5018581223762265,0.1837301699324936,0.0013067347149284384,-794.8734298621781,0.10007220985434771
0.012509578365868948,3.1476302996289514,1.0262166863921696,1.6913949591302209,6.2539572865244395,5.027486200014886,2.5881143829420825,0.016666666666666666,6.967864752321243e-4,0.0023743969500753755,4032,4305,4616,4410,4565,4069,0.04505949199047705,0.44518935648680796,0.1380375739182226,0.0012646449043180535,-794.9315394408796,0.12285889179080679
0.012787656603803167,3.248133336283466,-0.03265815569919435,1.7623248412728234,6.18172474703998,4.8910079236659705,2.7469565943985277,0.016666666666666666,0.001383421759987371,0.002109270691949328,4032,4305,4616,4410,4565,4069,0.0401484624667899,0.44878389374269206,0.14002685532363154,0.002021197406724278,-794.9331262691042,0.08665641082974089
0.011034482758620694,3.6267032505384655,-0.33586427954669923,1.5988303679089446,6.388028294117395,5.214789463511161,2.662610348549334,0.016666666666666666,0.0012585862754911725,0.0028032113208050426,4032,4304.999999999999,4616,4409.999999999999,4564.999999999999,4069.0000000000005,0.04509268584056405,0.5155711660430154,0.1166390341439969,4.110459690769882e-4,-794.9488790607812,0.17961915464072173
0.01278501200059671,2.959504839334753,1.574637772983891,2.2560252337668687,5.93907568952972,5.0932971237487425,2.6727463820027815,0.016666666666666666,3.9133412524179964e-4,0.0016882243077636814,4031.9999999999995,4305,4616,4410,4565,4068.9999999999995,0.03555012391017555,0.4877784325400338,0.14785164001036027,3.0519281189299817e-4,-794.9706092572646,0.20037836110469479
0.013620689655172399,2.6983289813059406,1.5119117561735314,1.3638503552098113,6.059632625309707,4.779184403160788,2.68003589606553,0.016666666666666666,7.847610952015201e-4,0.0016366833830525652,4032,4304.999999999999,4616,4410,4565,4069.0000000000005,0.036203197660896184,0.49973297607747635,0.17466481744225576,0.0012796226048841885,-794.9886707216638,0.1446755096404999
0.012635550724271966,3.2639682958736986,0.07075254777926093,1.5658353357767658,6.416229667441582,4.753255985446345,2.7063785143795536,0.01666666666666667,5.066670710170624e-4,0.002034809724266125,4032,4305,4616,4410,4565,4069,0.04069417910299256,0.46439741773941173,0.1436428188087774,0.0012562930132743607,-795.0045328668541,0.09505628517068279
0.012068965517241391,2.6280103198059552,2.220165487506015,1.2542520919102462,6.329531976290457,4.713200300116539,2.796185788950101,0.016666666666666663,6.980542925601192e-4,0.0016927204411844264,4032,4305.000000000001,4616,4410,4565,4068.9999999999995,0.03639600459394638,0.5094661057233337,0.176034065762823,5.547844095462529e-4,-795.0059652809997,0.1434774891957707
0.013103448275862066,3.542908693630855,-2.290364800245479,1.6565872595998674,5.935098800597955,5.003899036423448,2.406275392042361,0.016666666666666666,0.0013512492197921978,0.0021312275323010256,4031.9999999999995,4305,4616.000000000001,4410.000000000001,4564.999999999999,4069.0000000000005,0.03969160040707361,0.4855333481881051,0.1605711126807044,9.250649840852136e-4,-795.0119434783958,0.11555387984569385
0.011434804231563171,3.3509871680350036,0.5947230901809039,1.7951068522968536,6.567420908121263,5.01596168195555,2.927505825418697,0.016666666666666666,0.0013185617516347265,0.0029569870758905984,4032,4305,4616,4410,4565,4069,0.050763725903772726,0.44685663967812445,0.1035995623010732,0.001724021845209841,-795.0150250710569,0.0966445174003108
0.01155172413793104,3.0798554178365483,1.4464872907286366,1.36065961710233,6.495693436302836,4.972786975941575,2.7272298363892484,0.016666666666666663,0.0016577682274418995,0.002535145358453422,4031.9999999999995,4305,4615.999999999999,4409.999999999999,4564.999999999999,4069.0000000000005,0.04425239527860179,0.48378213432161216,0.13165484840361585,8.581233648216706e-4,-795.0291976615283,0.09057337677653972
