"","delay","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London",0,-3838.75866034863,2.23613550925819,0,0,0.02,12.6631543693362,14.8044958958058,0.509099639632125,7.30435289846122,0.555743205337511,0.957083920788534,8.96501191747916,0.726699054380456,92.4930989732223,0.113890366428349,0.0362889362708927,4.2106587782658e-05,5.08468857704839e-05,0.963618110255555
"London1",1,-3834.00742061606,3.02714422791053,0,0,0.02,11.2864003360532,17.1687400215642,0.502104812405674,7.0252873409136,0.578238398188204,0.999508737050828,16.2356176161105,0.759427048285765,85.821253556242,0.11755480579572,0.0334952756998573,4.11652726149464e-05,6.36700265357011e-05,0.966399889000993
"London2",2,-3826.44468027174,2.07340621572895,0,0,0.02,14.1202202914889,12.6463363733775,0.510243502307577,7.34455946676865,0.572444787386862,0.982356104579143,0.145358665798061,0.662957680211899,113.281214301195,0.107087836731687,0.0318474773314511,4.54110583364593e-05,5.03451379196928e-05,0.968056766472289
"London3",3,-3811.29203908833,2.21672646988998,0,0,0.02,12.4690789636507,13.0031959795884,0.495906498570121,7.31768495885842,0.540420659486639,0.97417140044117,7.8024811009898,0.704047823277319,124.793032820431,0.111552552676813,0.0323066962444045,4.17680315162946e-05,5.3087913517365e-05,0.96759844781056
"London4",4,-3806.26721664912,1.28624397477501,0,0,0.02,10.1802647281479,11.3393528275318,0.487943543536625,7.3641112260317,0.429568983429455,0.969471813532197,0.0601334928090448,0.672582161751343,213.373575697207,0.110785643635761,0.0335547029840532,3.50509573175904e-05,4.54046399799973e-05,0.966364841418648
"London5",5,-3810.751191245,1.34535482740338,0,0,0.02,11.7519022820840,13.8137949543708,0.478578353100429,7.24219445003209,0.554550615773203,0.955988011055634,5.40320930623074,0.715423150864832,114.100377692613,0.110075776732149,0.0405470052027017,4.67469466147827e-05,5.77709267910379e-05,0.959348476923893
"London6",6,-3819.57843506601,2.33143841351757,0,0,0.02,13.1221994966368,12.3539313708803,0.474178707567842,7.5515150837588,0.517792997444474,0.962831908114796,0.16311532847877,0.644398266099071,124.816619703238,0.114559325062921,0.0380736133142353,3.91466309889878e-05,4.94788424585124e-05,0.96183776121232
