"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London1",-3811.23755864275,0.226410085536188,0,0,0.02,31.9387926856573,26.3622106550073,0.483999111239198,7.24494847186488,0.633140812812145,1,29.5932421793803,1e-04,115.624571218116,0.11124940108222,0.0237660401264005,4.58826559585864e-05,5.39817014738456e-05,0.976134095516168
"London2",-3810.50053482057,0.304814535063022,0,0,0.02,31.5574024833668,31.2656964612545,0.486485931497902,7.28865470936075,0.58150410663451,1,22.2958940046188,0.0371329333333333,145.376675030556,0.10861810017201,0.0259716568920006,5.04591358023272e-05,4.48570597123905e-05,0.973933026912484
"London3",-3809.46021818051,0.139687660840577,0,0,0.02,28.2889896018193,27.3430298804094,0.484768884171379,7.29421347435868,0.648281720123875,1,24.0795247887298,0.0741658666666667,104.32503012738,0.115638364253976,0.0240626012790747,4.0943801749963e-05,5.97072329862718e-05,0.97583674768619
"London4",-3808.69209767807,0.201836258660885,0,0,0.02,30.043523220012,26.0427659304611,0.485830169238326,7.28650408031072,0.653845784041181,1,22.3475484046071,0.111198766803688,106.376591117708,0.111134887699123,0.0234755300447998,4.56718631007155e-05,5.79085251981798e-05,0.976420889566903
"London5",-3807.54190764653,0.206717990487021,0,0,0.02,29.53508657577,25.8549812780674,0.483556326013214,7.25927167329232,0.649010844782964,1,26.1128246105371,0.166748150205532,104.535867664157,0.112171842828993,0.0248718608357871,4.10539700967719e-05,6.07523453182237e-05,0.975026332848798
"London6",-3806.73033340739,0.174960101174357,0,0,0.02,28.9193539256016,27.1767661425038,0.483965792302086,7.29541236378592,0.637273195933061,1,22.9469461993935,0.222297533607377,106.395800908179,0.112425951378314,0.025128534987825,3.98332783438849e-05,6.02155174690247e-05,0.974771416216361
"London7",-3806.2094989635,0.274936977864213,0,0,0.02,28.7259483608267,29.2456961535031,0.483999887133137,7.32520622237809,0.611294914733117,1,20.5050982554425,0.277846917009221,113.912887761511,0.112341790248645,0.0259731933558836,3.86560252009492e-05,5.78544631558897e-05,0.97393029615576
"London8",-3805.59243408079,0.244895197389881,0,0,0.02,29.2422587743157,30.7410445573263,0.483967315458337,7.33432938636601,0.585430413833166,1,17.8550473499525,0.333396300411065,124.791728047619,0.112212468043858,0.0269085051347519,3.85017188093169e-05,5.55846092016339e-05,0.972997408537236
"London9",-3805.44284594401,0.285834016960502,0,0,0.02,29.1854145049625,31.8508256704437,0.48375085821549,7.34327948328045,0.566426576639458,1,15.4698247080643,0.38894568381291,131.400838333438,0.112311236626224,0.0276331007628516,3.88853049354941e-05,5.37964413848695e-05,0.97227421749083
"London10",-3805.35771481569,0.196658680158554,0,0,0.02,29.3995124332327,33.5428226913357,0.483750544929673,7.35547821588619,0.538512915296974,1,12.0494462818465,0.444495067214754,144.523893206282,0.112394421204319,0.0285231703298704,3.99489979746191e-05,5.06315065516761e-05,0.971386249165603
"London11",-3805.2637200029,0.232630377017378,0,0,0.02,29.7006254289268,35.1988864223373,0.483961966689814,7.36438582061778,0.510550568043241,1,8.71602020902069,0.500044450616598,159.640135531988,0.11250398711564,0.0294643769323641,4.08643560121896e-05,4.75079265758509e-05,0.970447250785048
"London12",-3805.08335629256,0.141755601638177,0,0,0.02,30.3505206313746,28.4935018611239,0.484035375291559,7.1297680169406,0.565721062605798,1,12.9776843843927,0.57045859570129,136.29759962455,0.11286473196978,0.0306624485857383,4.19014118506932e-05,5.78366867685032e-05,0.969237813315643
"London13",-3805.27317173028,0.240056583570707,0,0,0.02,30.3505206060227,28.4935018376365,0.484035375639839,7.12976801750305,0.565721062390769,1,12.9776844138032,0.622070690239052,136.29759985226,0.112864731886678,0.0306624485703041,4.1901411811262e-05,5.78366867832571e-05,0.969237813331102
"London14",-3805.62336362278,0.208157607180539,0,0,0.02,30.3505205559897,28.4935018332812,0.484035375357745,7.12976801521938,0.565721061898084,1,12.9776844442148,0.656720885300376,136.297599987094,0.112864732077624,0.03066244858379,4.19014118247765e-05,5.7836686803686e-05,0.969237813317582
"London15",-3806.01697485289,0.268970027158255,0,0,0.02,31.8211137563341,29.5198166139198,0.487407348493869,7.08803962160085,0.501331665640564,1,10.7197264865463,0.722241984223975,140.232205315385,0.114162004548828,0.0320701258269667,3.58077227906244e-05,5.4415478341131e-05,0.967839650971902
"London16",-3806.50649713899,0.312571956715166,0,0,0.02,28.5983453534872,33.7824847305406,0.482900348522271,7.27199701753344,0.485222527175607,1,2.84571194727848,0.777791367625819,147.769867757788,0.114335869219358,0.0323179289973417,4.76784057381894e-05,4.5357220748916e-05,0.967589035376172
"London17",-3806.98587953478,0.305407188991944,0,0,0.02,28.1350543183678,32.5977547266178,0.483374645740023,7.23700712625117,0.491026960452363,1,2.415510776739,0.833340751027664,136.256367052365,0.114921505622976,0.0327115465726737,4.89700678697399e-05,4.6290209352355e-05,0.967193193150105
"London18",-3807.2326745121,0.259662193305154,0,0,0.02,29.2880781873215,34.2072936766695,0.483752923793916,7.22356741663553,0.46473519842851,1,1.99300881318834,0.888890134429508,154.483937978376,0.114949157217966,0.0342995566236037,4.61211580749536e-05,4.42573661832203e-05,0.965610064852139
"London19",-3808.01354110767,0.193692226404284,0,0,0.02,29.5956103115642,34.8457656721508,0.488127277255465,7.1447767464489,0.46192251754297,1,10.604076294796,0.944439517831352,151.282086947407,0.110576483269183,0.0353834769828104,4.69835197418832e-05,4.57170075539335e-05,0.964523822489895
