Beta,mu_IR,rho,eta,N,loglik,loglik.se,k
3.6297430741211016,2,0.05629592958238535,0.6125641025641025,38000,-104.30226107319143,0.024181262985403802,10
3.8238632803119192,2,0.05853452315531237,0.5809209692730528,38000,-104.30690575656725,0.024966005900346602,10
3.849009183123982,2,0.05904239562639522,0.5780396777496185,38000,-104.30940939610146,0.011682159655763564,10
3.922088389387758,2,0.06293351660833611,0.5641127370973891,38000,-104.31311905945871,0.029950773827837146,10
3.7545523564629124,2,0.058863565595758276,0.5884615384615384,38000,-104.31654204312149,0.026061679869011038,10
3.78654928354973,2,0.05834219779669334,0.5884615384615384,38000,-104.3172780359735,0.013440706966053938,10
3.7673613940456607,2,0.05927218439232197,0.5884615384615384,38000,-104.31757135884958,0.021572052544894197,10
3.6228117982613806,2,0.05666681310758224,0.6125641025641025,38000,-104.3219567001359,0.0131270105539616,10
3.201826954053146,2,0.049243241203775705,0.6959879822710535,38000,-104.32266163035135,0.03208554776286079,10
3.656442916081138,2,0.05666681310758224,0.6069329918460881,38000,-104.32321257608804,0.019587249050527812,10
3.565463330299866,2,0.05612401541001731,0.6223516217986268,38000,-104.32421787022098,0.03348080918874779,10
4.317889818603947,2,0.06535367888727332,0.5161538461538461,38000,-104.32486917655976,0.017433969785540075,10
3.632068030803351,2,0.05602752811717291,0.6125641025641025,38000,-104.3254075302793,0.025423765046887172,10
3.77805503496117,2,0.05853452315531237,0.5884615384615384,38000,-104.32675802875355,0.02207099922309571,10
3.9539218704556665,2,0.060374889908777006,0.5621866334829373,38000,-104.32716930105113,0.017812475333824965,10
3.8960143627155897,2,0.05927218439232197,0.5721617181704801,38000,-104.32872381279327,0.022156071929102367,10
4.0993047183516,2,0.06399739246246548,0.5402564102564102,38000,-104.32903357126887,0.01790575356830292,10
3.604795764181483,2,0.05667806941588793,0.6125641025641025,38000,-104.3296280827206,0.017962722208279363,10
3.7717475088547534,2,0.057929160440024476,0.5902978699562318,38000,-104.33131728773947,0.03236698928987836,10
4.301232191294784,2,0.0665633239665839,0.5161538461538461,38000,-104.33168903354351,0.019490875773017006,10
3.9412766297367274,2,0.060304462074771664,0.5643589743589743,38000,-104.33174731822896,0.03167257279586597,10
3.7601589405050775,2,0.05925723762666656,0.5884615384615384,38000,-104.33222908877335,0.02670600319342491,10
3.9501683352224037,2,0.06004964631342428,0.5643589743589743,38000,-104.33336736291913,0.028771447554924924,10
3.6844646091303948,2,0.057412849957835854,0.6026700629733402,38000,-104.33403232345304,0.02199333604265279,10
3.778058634798791,2,0.05832647679259372,0.5884615384615384,38000,-104.33443973880809,0.02561735313507384,10
3.619173102745196,2,0.055848494948770595,0.6125641025641025,38000,-104.3359288124963,0.03108198010711439,10
3.9470589880458027,2,0.061581996869483374,0.5643589743589743,38000,-104.33720278281876,0.022238858758776545,10
4.118040102881204,2,0.06406398129113927,0.5405045483224877,38000,-104.3382369199019,0.0213551762618698,10
3.7932078844643473,2,0.05827531242802847,0.5884615384615384,38000,-104.33890477073665,0.035801642720946346,10
3.999880048258499,2,0.06273836874023658,0.5540229263996473,38000,-104.34050175342976,0.016544885127265662,10
3.3683124336713126,2,0.05179596985902395,0.6607692307692307,38000,-104.34248603315805,0.016872996627946352,10
3.859279956732152,2,0.060229731146017894,0.5742922371121897,38000,-104.34428674186822,0.021686709907704802,10
4.141188512875443,2,0.06434186435345832,0.535272403781283,38000,-104.34474946357398,0.019196872877648433,10
4.1001090353715695,2,0.06453917109209835,0.5402564102564102,38000,-104.34560241174873,0.02226393021862703,10
4.507774778748349,2,0.06979998237827723,0.49205128205128196,38000,-104.34563007339226,0.029051394890415708,10
3.4810804159134148,2,0.05356518696688118,0.6366666666666666,38000,-104.34679548684404,0.02236187688053674,10
3.766175086027116,2,0.05806360644247611,0.5884615384615384,38000,-104.34733984277521,0.022266641583084626,10
3.771620974287182,2,0.05955174025852547,0.5884615384615384,38000,-104.34752165785326,0.018030765443649954,10
3.3673996718092885,2,0.051778962522142716,0.6607692307692307,38000,-104.34759843062916,0.022248191192854476,10
