Beta,mu_IR,rho,k,eta,N,loglik,loglik.se
7.330002904294428,1.0826095826251552,0.1144928554891506,4.470833374941188,0.20458703789078236,38000,-103.33210019134262,0.06876458862919199
7.649828296059541,0.9521953524424452,0.11707459373298779,4.547958108090512,0.18363654310271946,38000,-103.33744031816451,0.048376323376352136
6.326585785639181,1.018913538626787,0.10000588599972483,4.37029230107611,0.2284446352584931,38000,-103.34197829518004,0.031756221277064664
4.690293608993733,1.4315764107410938,0.07101496479891185,4.945965876453461,0.38459442955432926,38000,-103.36040796715673,0.04151035208171952
6.916702414672648,1.098933395209669,0.10680878013210779,4.453442228830924,0.21869305801358802,38000,-103.36298437629945,0.050810406932854345
6.341092247720617,1.1761333615124199,0.09853903693319142,4.749069176621961,0.24908322403738942,38000,-103.36910573932242,0.032551097588296045
3.498927741316318,1.5719917296068415,0.05563101458780271,4.7434836827750235,0.542844466917771,38000,-103.37425174017841,0.040926919196485084
7.187001993964102,0.9328373085433525,0.1121197879204536,3.9348422228379767,0.19176885298654145,38000,-103.37947876279758,0.038262313311551825
5.789538538592823,1.0990773271289134,0.09064111170878654,4.271458036423634,0.2612739099268918,38000,-103.38411673793976,0.0395911180065575
6.387684541207002,1.0663688621019174,0.09968282671873037,4.071805456897893,0.23304409357681763,38000,-103.38549229903983,0.0332906384579888
4.366029063596532,1.5602194057768284,0.06788570799928963,4.852554242946543,0.4332580637885819,38000,-103.38799212887074,0.03645102342704573
7.338650763293802,0.9990336359782009,0.11276872628644628,4.921693868406504,0.19643534518086941,38000,-103.38957247701622,0.04205940124234202
3.5553109027650835,1.5789820326657227,0.0545530994722836,4.504809522787572,0.5317938028595065,38000,-103.38971526523359,0.04450558876488433
9.74583604074051,0.9133094409350474,0.15251435756827944,5.106137735868134,0.14049257472454915,38000,-103.39292862345552,0.04025327762742254
6.841001865137286,1.01925512915103,0.10774088854122098,4.573968146340496,0.2125246021285748,38000,-103.39372557238829,0.044805989498333844
6.032820218410719,1.1800028783510073,0.09280098352890963,4.802714803781737,0.26338870428710415,38000,-103.39423485772474,0.02780999592516546
7.356128841525297,0.9810006782851224,0.1115649646128453,4.222875812040407,0.19369915132392188,38000,-103.39432360268924,0.04959582876821039
5.724265434511915,1.1190342105244055,0.09025781730230772,4.37646797696433,0.26630815603993546,38000,-103.39497152751804,0.04973816845238903
4.299869047477387,1.2031525735911628,0.06712360157939677,4.485391226486775,0.3737382384515114,38000,-103.3986619482169,0.034347943158668987
7.1651370596346915,0.9993362562595532,0.10937657856941847,4.695139733094505,0.20197960125101144,38000,-103.39997052122473,0.02211283994007567
5.465267388144772,1.1357989917664393,0.08471659554696273,4.307764380469905,0.28401280587361,38000,-103.40151756823369,0.04389599590640455
7.856107171175349,1.0511444977153002,0.12300419357962648,4.63525306180643,0.18850340073358035,38000,-103.4017249985663,0.03637457729649809
4.620952155261224,1.3481411600412492,0.07239932106975784,4.496100500769913,0.3717159293789945,38000,-103.40311935843894,0.038192821739939396
6.1849009353865165,1.2542859788699914,0.0946536314975809,4.7297910635455045,0.26802062218657624,38000,-103.40336791029628,0.04119313379244003
3.9578231805796174,1.6478888072158442,0.06289418871651797,4.921953376000377,0.4922397405425428,38000,-103.40602353791833,0.047597954335076534
6.159762212098569,1.275627189329689,0.09682967469654527,4.747230814601255,0.2723411924225764,38000,-103.40664422878697,0.05270452241069586
9.07219392008424,0.9161954729514908,0.14043057240492784,4.476892840333219,0.151567814820516,38000,-103.40876365071772,0.059679874499987226
3.003034487678711,1.7304914756371028,0.046579943478984635,4.58214458918549,0.6739293627859876,38000,-103.40951812830043,0.04195127893902059
4.526728741202519,1.458134496419985,0.072084100660478,4.8645619392036314,0.39857290928566064,38000,-103.40975882071902,0.0369364988336684
7.229836894657187,1.1218977909167258,0.1122618203765403,4.3889297642947795,0.21175637740233141,38000,-103.41082597313714,0.033253901520971865
4.314977384117601,1.3772430228630572,0.06686640567064625,4.753482859077999,0.40505940180700356,38000,-103.41176943224788,0.03619517798340469
6.965551337677551,1.0406016517393972,0.10788012604900894,4.334629614679053,0.21124991726357034,38000,-103.41226088999316,0.05042369664103198
4.4626385776559765,1.341342873331776,0.0703011384662449,4.32975118487695,0.38315729579578117,38000,-103.41280592263604,0.05843045159860723
5.479256515857082,1.1335504828496201,0.08448556267758343,4.350755515009085,0.2814593238108579,38000,-103.4130300485024,0.05228011111392282
5.850760179753814,1.1562231559641756,0.0901636979386019,4.67840074237351,0.2703550729292011,38000,-103.4131998821238,0.05000387013030749
7.932290705069148,0.9579875436730532,0.12540545721399632,4.748091185940857,0.17718697295493094,38000,-103.41539828308656,0.04491578410034619
7.356802856207767,1.0156094371612794,0.11619460764432697,4.577739315967569,0.19505407633828128,38000,-103.41584977657642,0.03404833754266068
2.9699991835446298,1.9022141711979899,0.046617728028093164,5.1484217692392065,0.720673192035024,38000,-103.41611221235809,0.05527567615214284
5.909313586936321,1.000052110123631,0.09271778999582535,4.2043551290676815,0.24208658673119407,38000,-103.41659227080335,0.04908177506817187
6.001037363302238,1.1338532034858748,0.0931271276624244,4.381624685647794,0.259456789414928,38000,-103.41846713893156,0.050507337377651784
