# Wisconsin data for Martinez-Bakker et al (2015) "Unraveling the Transmission Ecology of Polio"
"time" "cases" "births" "pop"
"139" 1942.58333333333 0 5485 3053000
"140" 1942.66666666667 7 5657 3053000
"141" 1942.75 6 5779 3053000
"142" 1942.83333333333 11 5924 3053000
"143" 1942.91666666667 10 5625 3053000
"144" 1943 2 5585 3053000
"145" 1943.08333333333 2 5733 3014000
"146" 1943.16666666667 1 5213 3014000
"147" 1943.25 4 5773 3014000
"148" 1943.33333333333 0 5442 3014000
"149" 1943.41666666667 4 5597 3014000
"150" 1943.5 1 5308 3014000
"151" 1943.58333333333 1 5647 3014000
"152" 1943.66666666667 11 5642 3014000
"153" 1943.75 72 5298 3014000
"154" 1943.83333333333 74 5254 3014000
"155" 1943.91666666667 22 4784 3014000
"156" 1944 10 4759 3014000
"157" 1944.08333333333 9 4813 2980000
"158" 1944.16666666667 0 4856 2980000
"159" 1944.25 1 5038 2980000
"160" 1944.33333333333 3 4859 2980000
"161" 1944.41666666667 0 5075 2980000
"162" 1944.5 0 5203 2980000
"163" 1944.58333333333 14 5579 2980000
"164" 1944.66666666667 50 5437 2980000
"165" 1944.75 121 5076 2980000
"166" 1944.83333333333 59 5225 2980000
"167" 1944.91666666667 14 4980 2980000
"168" 1945 12 4964 2980000
"169" 1945.08333333333 2 5064 2961000
"170" 1945.16666666667 0 4627 2961000
"171" 1945.25 2 5185 2961000
"172" 1945.33333333333 2 4905 2961000
"173" 1945.41666666667 1 5298 2961000
"174" 1945.5 1 5061 2961000
"175" 1945.58333333333 1 5547 2961000
"176" 1945.66666666667 27 5290 2961000
"177" 1945.75 177 5134 2961000
"178" 1945.83333333333 190 5175 2961000
"179" 1945.91666666667 126 4731 2961000
"180" 1946 59 4796 2961000
"181" 1946.08333333333 10 4844 3167000
"182" 1946.16666666667 2 4731 3167000
"183" 1946.25 1 5325 3167000
"184" 1946.33333333333 0 5212 3167000
"185" 1946.41666666667 1 5578 3167000
"186" 1946.5 2 5699 3167000
"187" 1946.58333333333 26 6682 3167000
"188" 1946.66666666667 388 6993 3167000
"189" 1946.75 440 7164 3167000
"190" 1946.83333333333 228 7522 3167000
"191" 1946.91666666667 118 7212 3167000
"192" 1947 30 7216 3167000
"193" 1947.08333333333 14 7209 3250000
"194" 1947.16666666667 3 6771 3250000
"195" 1947.25 7 7630 3250000
"196" 1947.33333333333 0 6892 3250000
"197" 1947.41666666667 0 7090 3250000
"198" 1947.5 0 7153 3250000
"199" 1947.58333333333 2 7325 3250000
"200" 1947.66666666667 40 6997 3250000
"201" 1947.75 84 6955 3250000
"202" 1947.83333333333 42 6823 3250000
"203" 1947.91666666667 21 6207 3250000
"204" 1948 6 6269 3250000
"205" 1948.08333333333 0 6548 3314000
"206" 1948.16666666667 0 6472 3314000
"207" 1948.25 1 7328 3314000
"208" 1948.33333333333 0 6657 3314000
"209" 1948.41666666667 1 6186 3314000
"210" 1948.5 4 6388 3314000
"211" 1948.58333333333 37 7080 3314000
"212" 1948.66666666667 108 7297 3314000
"213" 1948.75 173 7065 3314000
"214" 1948.83333333333 215 6901 3314000
"215" 1948.91666666667 84 6429 3314000
"216" 1949 32 6594 3314000
"217" 1949.08333333333 10 6734 3391000
"218" 1949.16666666667 2 6094 3391000
"219" 1949.25 4 7037 3391000
"220" 1949.33333333333 2 6643 3391000
"221" 1949.41666666667 2 6885 3391000
"222" 1949.5 4 6752 3391000
"223" 1949.58333333333 96 7266 3391000
"224" 1949.66666666667 296 7522 3391000
"225" 1949.75 334 7122 3391000
"226" 1949.83333333333 236 7152 3391000
"227" 1949.91666666667 80 6637 3391000
"228" 1950 99 6598 3391000
"229" 1950.08333333333 12 5734 3438000
"230" 1950.16666666667 1 6231 3438000
"231" 1950.25 0 6925 3438000
"232" 1950.33333333333 2 6292 3438000
"233" 1950.41666666667 1 6670 3438000
"234" 1950.5 17 7091 3438000
