rho,IO_0,K,SB1_0,SB2_0,SB3_0,SB4_0,SB5_0,SB6_0,SO_0,b1,b2,b3,b4,b5,b6,delta,psi,sigma_dem,sigma_env,tau,logLik,logLik.se,logLik_se
0.0119196031221836,4.38948457792471e-4,6,4069,4565,4410,4616,4305,4032,0.146891641969058,2.99429851150093,0.94476659515294,1.80749261228706,6.22303653558102,4.92731587142152,2.76876765633231,0.0166666666666667,0.00210307146330409,0.0405274952971818,0.458982825377543,0.00179719898366321,-794.290538627605,NA,0.057974386580698
0.011682303343244,9.36802576237571e-4,6,4069,4565,4410,4616,4305,4032,0.128645891839713,3.12959145924362,1.21945116700045,2.01491112735608,6.24321086115772,4.98939005296111,2.80397144340738,0.0166666666666667,0.00225994656320936,0.0429386838732055,0.483851826400666,0.00130527306950188,-794.329791760779,NA,0.0911966111715824
0.012068965517241381,0.0013505777787452564,6,4069,4565,4410,4616,4305,4032,0.12782089493235002,3.434476439021323,-0.6926809151709319,1.8352703328305768,6.18927795281432,5.051913993270644,2.6659171580089467,0.016666667708333367,0.0025034842783609426,0.04394408046694512,0.44915977646843236,0.0012222940729525859,-794.4367240556411,0.1037618982305445,NA
0.0113823033739058,4.9378507440569e-4,6,4069,4565,4410,4616,4305,4032,0.145251032481787,3.24627515648122,0.246237453173283,1.83091640149997,6.2830324611698,4.97728657561094,2.63077096165457,0.0166666666666667,0.00252216199778065,0.0475562605099691,0.459249595284484,0.00109417573747129,-794.520766674581,NA,0.0754736555487775
0.0118852896504162,4.60678948638907e-4,6,4069,4565,4410,4616,4305,4032,0.152061673490434,3.1516059716237,0.379140539693624,2.23977775333176,5.96071973607217,5.11823587987518,2.50622623504662,0.0166666666666667,0.00212780922863007,0.0417181022661763,0.485547476624153,6.32585965932319e-4,-794.534624426265,NA,0.128008215005228
0.0126356590557463,9.57518024155954e-4,6,4069,4565,4410,4616,4305,4032,0.128299059651496,3.35624194570515,-0.169650669150489,1.79113238821864,6.32619540801769,4.96709433649694,2.6732256352965,0.0166666666666667,0.0024355985108958,0.0469879824768708,0.441711386137491,0.00127646468409306,-794.53685572483,NA,0.306235218123611
0.011555893698047,5.01442207863484e-4,6,4069,4565,4410,4616,4305,4032,0.125108795933769,3.15330172341798,0.98402738980207,1.83289618337162,6.42274664772753,4.90621081598362,2.85397921415385,0.0166666666666667,0.00258219376194982,0.0451347756536512,0.482843411499756,0.00127909377579783,-794.549038481741,NA,0.0668787030229182
0.0123249154373652,0.00065285264513912505,6,4069,4565,4410,4616,4305,4032,0.142666594151604,3.31296365189435,-0.166049804412267,1.7333564137925,6.23672015427939,5.0550570468609,2.6392219390812,0.0166666666666667,0.00221202302963285,0.0401190430303573,0.493751975941296,2.60871386880528e-4,-794.551973142746,NA,0.1055945508082
0.0115391412354548,7.97266323555235e-4,6,4069,4565,4410,4616,4305,4032,0.128582779375188,3.1933674548442,1.49154924428187,1.6556275290082,6.34814302214962,5.04346627470564,2.75495785546027,0.0166666666666667,0.00250212069714864,0.0425269582046572,0.481592248967015,6.98913033299571e-4,-794.562628277565,NA,0.106763133250494
0.012578074946699,4.2423632888809e-4,6,4069,4565,4410,4616,4305,4032,0.158945527636592,2.79164912942884,1.85489235267938,1.41016404582385,6.29247080169615,4.7625668531767396,2.77897290188805,0.0166666666666667,0.00194701496858779,0.0386483670917944,0.480231178520457,0.00107338807703245,-794.57608714137,NA,0.110313011699638
