"logLik" "logLik_se" "b1" "b2" "b3" "b4" "b5" "b6" "psi" "rho" "tau" "sigma_dem" "sigma_env" "SO_0" "IO_0" "delta" "K" "SB1_0" "SB2_0" "SB3_0" "SB4_0" "SB5_0" "SB6_0"
-795.303404960345 0.284632740711998 2.81741462119185 0.65510288655105 1.22868032316407 6.16833318560261 4.70338128553225 2.50971300792352 0.00215290836426851 0.0104893754633073 0.000988039277044192 0.0381023023414717 0.462925328414801 0.160962610975009 0.000622004241670098 0.0166667 6 4069 4565 4410 4616 4305 4032
-794.668729886118 0.490488145323924 2.85828793267295 0.897477938902332 1.3923199917861 6.04102752227019 4.72852262199987 2.5030218029299 0.00219964640777596 0.0102382441520878 0.00119786725573326 0.0447000595041725 0.460711872612867 0.173351024083412 0.000702562005934523 0.0166667 6 4069 4565 4410 4616 4305 4032
-794.98260312149 0.323271468293548 3.20469378334056 -1.52721385315737 1.54724259859037 6.12336891451226 4.67207085277562 2.3598669433766 0.00203507239709104 0.0108559841141625 0.000555568219594106 0.039877282939643 0.487334233792894 0.178517301075991 0.00112534378528621 0.0166667 6 4069 4565 4410 4616 4305 4032
-796.04145184537 0.314399866037634 2.79739596851969 0.412032940447311 1.04755186388265 5.97311753628797 4.69069036460505 2.4074519650298 0.00194879296439723 0.0120969468964085 0.00151602140753173 0.0417022250241122 0.432287455044748 0.192325263531056 0.0013638419489005 0.0166667 6 4069 4565 4410 4616 4305 4032
-795.647495938458 0.627324706108797 3.04668184985745 0.122617398913163 1.16209649831732 6.39671380054694 4.84506557795902 2.42340986282879 0.00282869755867175 0.0100972067779956 6.30560837921215e-05 0.0481137159100746 0.477505610720948 0.1480645713416 0.00114141456166555 0.0166667 6 4069 4565 4410 4616 4305 4032
-796.347339725799 0.403744524943906 2.04395239381582 1.53669110600712 0.407064098241971 5.73716748681237 4.09655587767367 2.06659879883859 0.000741444068988906 0.0165313025793615 0.000713349851268445 0.0228981438385902 0.481762925298466 0.3588863434686 0.00029707216256244 0.0166667 6 4069 4565 4410 4616 4305 4032
-795.627503037327 0.405911370028981 3.61442509657188 -3.48993422099959 1.65321413812531 5.75789290112121 4.87753059755596 2.00998059043305 0.00203226739011847 0.0119323168818833 0.00122282407784827 0.0361323388438885 0.482805307787537 0.195954693920674 0.00201869896237336 0.0166667 6 4069 4565 4410 4616 4305 4032
-795.351073916102 0.378634734766611 2.5236747308194 0.939379521416858 1.17417212913057 5.80621283549471 4.51147493973485 2.23297841351316 0.00134619864247954 0.012744889121993 6.89942660996482e-05 0.0298071116849695 0.508763991786732 0.233037940167919 0.000912324889324549 0.0166667 6 4069 4565 4410 4616 4305 4032
-794.899983194369 0.33209539893251 3.16888534193148 -0.450553191261994 1.53477462963551 6.15443610123832 4.85192721089615 2.60886884377579 0.00273085030697704 0.0100073382239809 0.0014201769380912 0.0466501972250743 0.448003558545421 0.140313875441253 0.00119844098791813 0.0166667 6 4069 4565 4410 4616 4305 4032
-795.243302019498 0.471847437841054 3.52023563863279 -0.223692909057131 1.81753131856521 6.42501795844012 4.98097087967036 2.56164079972293 0.00231925723953678 0.0127879970839411 0.00113211860850433 0.0452882099984512 0.420159939889336 0.130220540724739 0.000783002447316078 0.0166666666666667 6 4069 4565 4410 4616 4305 4032
