b1,b2,b3,b4,b5,b6,psi,rho,tau,sigma_dem,sigma_env,SO_0,IO_0,delta,K,SB1_0,SB2_0,SB3_0,SB4_0,SB5_0,SB6_0,logLik,logLik_se
2.45807551936972,1.741650149565822,0.713580388539519,6.232182710937979,4.608587661496927,2.525766485014876,0.00123331696193,0.02050405592221201,0.00189354711189988,0.02923577580252554,0.5187361103703647,0.17747291539562998,6.127720486390088e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-796.7533849873764,0.5700154663852741
2.600694157895934,0.8430604789308785,1.3851398353002635,6.399110045014883,4.814463839238615,2.8628817442955943,0.00141604821033616,0.01774793976539073,0.00141406680185622,0.03034913947259103,0.5196605793298891,0.14140613897114088,0.0010650641407956,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-796.7590991169266,0.2116435007332707
3.1122975981989303,0.5204804898953115,1.8756752617188615,6.3905912278573185,4.629953065219088,2.682810903486334,0.0015352135041990032,0.014875715550291406,0.0011897788636808413,0.038090663977625866,0.3993692881572785,0.15370719230323585,5.244847950585961e-4,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-797.5950530336808,0.3863209763565489
3.46347653049493,-2.6044750060032027,1.5062999678339015,6.160184018699013,5.062574621353153,2.5924133166437957,0.00171479162218372,0.01466766281556686,0.00187398177291367,0.03129995261090572,0.48062305398639904,0.1418799086602593,7.23997590738856e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-797.9056433651282,0.2283850310848285
2.0294682415039222,2.179009579384623,1.28226578445621,5.777706612387467,4.386566665507486,2.315549370456028,5.554557908364298e-4,0.02682263398755947,0.004569484950419989,0.018712949164713343,0.4884851042041258,0.26176866064065735,4.646441315518837e-4,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-797.9714818104496,0.13524063451723192
4.146431516863976,-2.6238097143270527,1.3939286457551494,6.621135241629835,5.115311982577323,2.5628211974876156,0.00288607911249299,0.01168611389390666,0.00207365036649985,0.05518945535801418,0.3611423685306472,0.11015049485059188,9.340805381932748e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-798.2700157908126,0.18389837461194897
3.7449990433060805,-1.3810363975596907,1.991691124070998,6.0888143169619,5.226851332217405,2.1152862943000525,0.001298843075064782,0.01797952452623365,0.0010789671029825482,0.030307357202277212,0.507922289830254,0.14041447501107931,0.0019078373800927152,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-798.2832537033047,0.9455030905753566
3.188541989691023,-0.9167529747089562,2.0916508604994117,5.929560475888727,5.080876130190011,2.8445480796175713,0.002051757834139245,0.015858569610599935,0.0013218435718552082,0.04257962518786612,0.5258529516731905,0.11272351873088433,0.0010317891522483194,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-798.3384462521518,0.4853740907742109
3.2805895336687514,-1.8041973979261536,0.9363804651302726,6.657564593151215,4.868609439666186,2.636020360703134,0.0022073584872806,0.01350302540313179,5.751143386442683e-4,0.03101110850899934,0.5695578354305034,0.15225555135947938,0.00192103654576489,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-798.382616857839,0.18017989411281024
2.8220985310290003,0.7360429879996325,1.1113999676058572,5.812184798990913,4.764156616954664,2.1924350485960944,0.001079474179926863,0.01856487384984952,0.002551045141261534,0.023418973112375646,0.5197565859016862,0.24370850107637246,0.0017325535368963075,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-798.4695412495668,0.17454820782838593
2.8643635130540273,-1.1920891337020996,1.8955285746548531,5.595502547340683,4.385674768291689,2.106327558808713,8.411277094443818e-4,0.022065307210650104,0.003302151312054944,0.022594949770583996,0.4925711654819204,0.2735354883256322,8.343772253572726e-4,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-798.5289701944561,0.3505011959604269
2.5590037065679074,1.9501854866459236,1.7572484855285464,5.876960458312207,5.249772041963113,2.4261839229002407,0.001534102829916604,0.015441912021976215,5.403510121987804e-4,0.024723276147864674,0.5938495951863283,0.15728613457488227,8.220291856227115e-4,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-798.6214209956473,0.2962598962503982
3.3658138666250115,0.9753378689686062,1.3253230095887785,6.9267542065940715,4.92194443635132,2.8086954947053338,0.00218866849381539,0.0132055667411594,3.047449701022285e-4,0.04757168151780396,0.5330234930388131,0.10497884096698774,1.660194567693232e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-798.8463952893148,0.6402036193718246
2.930410643042171,0.11478491597827556,0.3586373191047716,6.479368641304204,4.8954062308402,2.257940843571672,0.00127882823867726,0.01743035350942147,1.842993951852819e-4,0.02716901541194675,0.5382907398301939,0.18720644054012736,8.067950279001763e-5,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-799.0833617679251,0.28803835399256367
2.6174195734800176,1.267663190019613,1.4392185932117811,6.307085176037489,4.677801213631332,2.4327574374427545,0.00107518993886278,0.01793195233767912,0.0011677935713249,0.02425482242699731,0.6341425889837609,0.19220649815398577,5.43544539256206e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-799.3576503193173,0.19499632541694256
1.9905134588427356,2.856197836866914,1.6056615124419291,5.823666764045567,4.493722750473402,2.8479745842847035,7.123113673742677e-4,0.01929211042529163,0.00186506515266128,0.01068381118546428,0.6056804807283289,0.21489088576501691,3.5600722918873985e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-799.586189901682,0.32180188544342636
2.894256201305719,0.1759109715511208,-1.1583180975517249,7.2734423200554446,4.525967600340343,2.949743473373666,0.00244974763017611,0.01171032202795075,0.0010581889824663,0.04813021180670578,0.44990746970357054,0.14812578851750133,0.00172920758410909,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-799.8158184523554,0.25703159401810133
2.701294111836121,-1.1825350070351703,-0.5996761713127096,7.127716678010429,4.317365659016619,2.8615850959462965,0.0018174628109910947,0.01468335490975062,0.0011192543011544391,0.029975075461347762,0.5254923365985421,0.18342841569171625,0.003259591051214597,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-799.89214531541,0.23973928526410607
2.7495228345472813,-0.9736596430914496,0.3605314002064596,6.34356436405324,4.465798856400567,2.348961299421075,8.181145077958286e-4,0.03312362272201782,0.00804529354022559,0.02411919968489871,0.45849560151544205,0.2019695470016354,5.701364820456658e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-800.171574293449,0.2918312197757469
3.8248750702484595,-3.1215706485527437,1.04489425249448,6.12316937139047,4.517342089667009,1.6660220974352893,4.910084544408168e-4,0.03761796716957126,0.004457273882494093,0.017761380359532848,0.528431199246951,0.2523460797859144,1.9421281697109082e-4,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-800.3877878840408,0.13319425304593985
3.762477167475004,-0.16058284631065434,2.695445738976386,6.198252127967879,5.508784882584869,2.550434212329044,0.00224223544015732,0.01139596255124454,8.852946471120902e-4,0.03959024117707092,0.5949510593151601,0.10132639657590505,7.577553914894087e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-800.4085726624166,0.3609251043880319
2.849667610906681,1.5286233250823753,0.04952146882091905,7.332620639476191,4.255366837537708,3.215491997641196,0.00220626631023499,0.01281238326946285,6.662689560924294e-4,0.04894892791883083,0.4695051612358648,0.1377372270873579,0.00455253630645265,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-800.4218115423444,0.20573023847161567
3.556037581902603,-1.918723051245976,1.1668954083735337,5.906280693665603,4.91838237147536,2.4967062534452515,0.0019937471697301,0.01436703324213819,0.00213519865089955,0.04100723930887402,0.5646742866753679,0.1470143755099451,0.00126942065470057,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-800.5122646407056,0.34302895786594123
2.434059571977452,2.6393740450764023,-1.7090430423673597,7.331875368451756,4.053754037017417,2.864062363203058,0.001799207254411661,0.014037844965886205,0.0027875630808386473,0.04567089886114453,0.40858852391882294,0.17864612851440964,0.00636142057820867,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-801.2649416041677,0.21395223556528467
2.7923754142653885,1.1692501175039955,0.15912232346927582,6.427017718443533,4.839158645223038,2.724889932449967,0.0020826191296434,0.01238739695178389,5.2338281304592195e-5,0.03203636339927147,0.4859461271656272,0.13392221428750703,0.00140057349810191,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-802.4335916995082,1.4045000767038514
3.2358978168137615,0.31615636399296426,1.1665527873821606,5.561093093291654,5.042929329097264,2.190323915819262,6.295762226013299e-4,0.02452925532154284,2.444106319924253e-4,0.01488272407073775,0.6010209514568018,0.20478705961415236,7.15181033305872e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-802.5169863097115,1.1256665407656854
2.8242233398374905,3.0269416043418023,1.4616064317869593,6.701697535986769,4.968521123211096,2.8722210341687293,0.00165423469371928,0.01124347665747815,1.1093670483824526e-4,0.00354767290814534,0.6848915193168298,0.13500356894892215,2.6885905281082546e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-803.5316071036864,0.18374705024801977
3.1495582356977416,-0.19659170706512832,-1.6519914803457814,6.942803837719996,4.42866845549329,2.478604513281265,0.00177558623275122,0.01356701871672108,0.00264025039695364,0.03861372893547903,0.5165418898537334,0.17273065148182762,0.0016566659012468,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-803.5855630414151,0.28428604247277783
2.854861468157519,2.3729903144534754,2.694150664233903,5.197375210969876,5.341953229626139,2.2345736790845314,8.001736025327039e-4,0.01631097699587585,2.1524290739207008e-4,0.02258405708950535,0.6158334983884195,0.22235511450926335,9.298051499982556e-4,0.01666666666666666,6,4069,4565,4410,4616,4305,4032,-803.7915033968358,0.2720473967825273
2.2611291654066545,2.720447956459248,1.9537972096215035,5.743772182318864,4.449653021664376,2.2580302294122334,9.552197893267374e-5,0.07626768708365904,0.005152196516535515,7.521400287078258e-4,0.6780782798508,0.3054684563436548,3.566608914165119e-4,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-804.2597394968365,0.24083869780058512
2.1080894427151544,-0.413234943453438,-1.9493220723536626,6.6849377401735675,4.1039878763736635,2.7395502813017303,6.32566111418112e-4,0.029041942898494405,6.251501294644342e-4,0.022851811575276458,0.4909574854980812,0.2993377497503497,9.985299280409164e-4,0.016666666666666666,6,4069,4565,4410,4616,4305,4032,-804.9267465022748,0.2438696324175613
