Beta,rho,eta,sigma,psi,N,mu_IR,iota,loglik,loglik.se
5.467482378204072,0.08431732170001789,0.40466082159454775,0.013279903135030153,5.770667967590376,38000,2,0.05,-104.5117018716957,0.022489529582423996
5.714606641270887,0.08897565752011563,0.3911350669549305,0.013113695970249997,5.3892975822771385,38000,2,0.05,-104.52409983804019,0.020486085957579482
5.221028169771564,0.08372669661916173,0.4236004818852768,0.01597672573762792,5.483824388512724,38000,2,0.05,-104.53560907544116,0.02106433879573884
5.999640460286437,0.09332773225139836,0.3711531066095629,0.006684184112080171,5.847572133656686,38000,2,0.05,-104.53954378878959,0.03363785449797922
5.612886159734968,0.08639836976807681,0.39868057559201303,0.010616217679010168,5.228173628298892,38000,2,0.05,-104.546873900294,0.019697577305371264
6.15270251105215,0.09490003730368056,0.36148496365319555,0.009545656278636487,5.249033662504058,38000,2,0.05,-104.54826476877436,0.02033131961708454
5.3802899176859365,0.08424170002052882,0.41465623197139173,0.028901239312192503,5.524394134596551,38000,2,0.05,-104.56802462933274,0.025386966472958773
6.545383833315931,0.1001477763317574,0.34211205079634965,0.013269512139297258,5.949100901568178,38000,2,0.05,-104.58542408342018,0.0281073145163772
6.014298895270679,0.09074304745538646,0.37095994706503826,0.027212334859013414,5.476507716949817,38000,2,0.05,-104.58660478439064,0.017414979584400737
5.976556871376624,0.09294768948870558,0.3724425264894846,0.03495405907033396,5.868444964435389,38000,2,0.05,-104.59257059539854,0.01781409374547907
5.533289178613625,0.08450006192489341,0.4052368649313316,0.031801576712058556,5.084540170773021,38000,2,0.05,-104.59555730338514,0.017121473281610934
6.039642166406065,0.09443955920013491,0.36845132521607704,0.011022526890449833,5.291624575589912,38000,2,0.05,-104.59947350612981,0.01712323049860764
6.3110789977014035,0.09782609138447819,0.35185396484045894,0.013922073255771675,5.793668875545767,38000,2,0.05,-104.59992990661704,0.02457560622760966
6.334314618433312,0.09678811096266084,0.3533149717413688,0.024211607210546444,5.670567893232322,38000,2,0.05,-104.60013331869558,0.020429888084772408
5.439779010446534,0.08282139806846518,0.4138519907125239,0.027820599560983227,4.831330176933863,38000,2,0.05,-104.60923698883335,0.021034029327110054
6.001994331947987,0.09379047583613415,0.37437448873643925,0.00790152114727888,5.435517749630842,38000,2,0.05,-104.61100958805118,0.019868125919347873
5.589179882621067,0.08644854766017093,0.40030871760252956,0.03782638585303853,5.935879683176194,38000,2,0.05,-104.61275470742983,0.02540780994589156
5.245650066868728,0.08372112498329186,0.41936884308434336,0.02124169788191118,4.835662862653506,38000,2,0.05,-104.62282450186724,0.018374567124026516
6.1533648054804,0.09081467156341154,0.36441880552668954,0.028577900590022805,5.153141623503481,38000,2,0.05,-104.6313463457387,0.02798886781618429
6.051372983823705,0.09511240377923998,0.3685174582668253,0.022846021631766186,5.879080016165433,38000,2,0.05,-104.63272675708644,0.02717574456421082
5.9098605703869715,0.09168716551867503,0.3795756467860139,0.024679775223059135,5.1032459473043845,38000,2,0.05,-104.6373974500779,0.02998721607890423
5.340324281596051,0.08206389768554635,0.4154718570448228,0.03748803217918873,4.883005899969523,38000,2,0.05,-104.64308245417295,0.013788062666829106
5.8482544154760125,0.09307845944393614,0.380432108485583,0.02894004054240315,6.19456529482643,38000,2,0.05,-104.64595474958524,0.021498145738902227
5.397716646913196,0.08182741522934803,0.4168614216566736,0.016734332984351744,4.554194521568968,38000,2,0.05,-104.65450269581073,0.01252828883955108
5.318336975097979,0.07897585365068578,0.4224759711093766,0.04955492629225098,5.282069268170615,38000,2,0.05,-104.65692271321726,0.02823454183472013
5.666267274874511,0.09168967355909577,0.39340093032449824,0.024152103333318527,5.633401163189311,38000,2,0.05,-104.65782440069584,0.01984936539298804
5.866069319469865,0.0871377358701382,0.3827472003730544,0.044868664238519346,5.781310161292468,38000,2,0.05,-104.65844532239902,0.023113113555061182
6.810401922364122,0.10253396591543294,0.32933480730362485,0.017640858651671486,6.09793094305634,38000,2,0.05,-104.660574984607,0.026889484370657264
6.89318488276403,0.10308057223207533,0.32334386985606733,0.01635781852135039,5.480550041545501,38000,2,0.05,-104.66159583790413,0.024557542622712477
5.170014607289576,0.08396148490823772,0.4268002457497478,0.03649906634594749,5.247175363242462,38000,2,0.05,-104.66253236426178,0.036724940467550864
5.594537305280401,0.08968323023102964,0.39989940452896433,0.02901283418451462,5.335500098966095,38000,2,0.05,-104.66331407898421,0.028624068515956853
5.7660478347830555,0.08800199268718722,0.38898803676320814,0.02840214927931235,5.072399882280949,38000,2,0.05,-104.66703688771732,0.03414079467684081
6.683387833306849,0.10235414095349113,0.33155213066106354,0.007718526071386417,6.049496994251371,38000,2,0.05,-104.67380840494657,0.015527254965511937
5.516764537960749,0.08657261071307142,0.40155625794280037,0.04035743198293754,5.308016627840604,38000,2,0.05,-104.67463325062288,0.015836507194344557
6.734268370980992,0.10872959271371542,0.32814757597786626,0.014309910436390565,5.97437774202598,38000,2,0.05,-104.6788078100904,0.027784811574222076
6.704122988264909,0.10309831240763612,0.33300879774807823,0.028515384712122453,5.96273791672072,38000,2,0.05,-104.68353607969424,0.028800621342489053
6.84867302629954,0.10770614027269383,0.3246945896393454,0.013288940911351724,6.081193396806674,38000,2,0.05,-104.69407249106732,0.02961528204106318
6.413413195288152,0.09666249971952787,0.3488153304162843,0.03697307816821305,5.784407084787287,38000,2,0.05,-104.69880449114657,0.024529908747101054
6.5429825825175545,0.0999499883835573,0.3433969162804796,0.012090505105302228,6.4167143453914575,38000,2,0.05,-104.70001527915242,0.01521639463907768
6.252181100598589,0.09977540677352488,0.35720788738374254,0.018463831833049442,5.277008924720873,38000,2,0.05,-104.70275685108828,0.012481187371455914
6.892074330736053,0.10643902773409396,0.3229787498869356,0.02194180945208617,5.449505203183316,38000,2,0.05,-104.70324979161026,0.029199634991405776
6.797859808107785,0.1002695943607073,0.33144858827101115,0.027272831787555053,6.404639122048786,38000,2,0.05,-104.70744966166792,0.022462424821341195
6.856847814699755,0.10668801431425108,0.3260189712325934,0.013200512340210593,5.995590205974422,38000,2,0.05,-104.708944967223,0.02353166871176104
5.892685547044699,0.08506694622360703,0.3841007076923202,0.03105414988068123,5.5193120941157305,38000,2,0.05,-104.71136026670446,0.01929951383805313
6.661748768883346,0.09865710409933193,0.3366719730289302,0.027703095060514688,5.929771196680695,38000,2,0.05,-104.7197180181759,0.03243264413963053
7.009079604017381,0.10751670601329046,0.316749018553748,0.03505689129340078,5.208561192603439,38000,2,0.05,-104.72862260187425,0.027348954786119005
5.457435507245025,0.0853325907145855,0.4087018114549978,0.05872421262099414,5.323396540075113,38000,2,0.05,-104.72968535656761,0.02183210540861746
6.272150656265145,0.09481197690322372,0.35754167476422216,0.04767044490780904,5.6522210137079885,38000,2,0.05,-104.73304530790705,0.022941513944107497
7.204142445526918,0.109941527251753,0.31005807193287777,0.02749951489710215,6.215395516612592,38000,2,0.05,-104.74191702295644,0.02103469355437237
6.635203372342633,0.10385655079721147,0.33319317615038585,0.03451268475920855,5.192336964809278,38000,2,0.05,-104.7461361739245,0.032140331284609684
6.279392114235978,0.09962910471961417,0.3556264471517284,0.03619549175659092,5.747267748914045,38000,2,0.05,-104.74741602637378,0.024258075566123624
5.879099995934381,0.09420050277319934,0.3779204687671128,0.05195123076804679,5.780714712752356,38000,2,0.05,-104.75870012648787,0.030743473585274128
