Beta,mu_IR,rho,eta,N,sigma,psi,loglik,loglik.se
4.501305016854203,2,0.06706393216426594,0.497224616979021,38000,0.027143528455426863,5.372796185801062,-103.71207522126382,0.006800259071047797
4.850743786887571,2,0.07414911899943202,0.4566237146716758,38000,0.017839860508284525,4.843199221682982,-103.75461973483696,0.008577822751207864
4.812941785404209,2,0.07678606510811863,0.46058925985729243,38000,0.030456651762431525,6.032217847446144,-103.81081890573105,0.008328404830435353
4.538333004120784,2,0.06991664864562153,0.4911733951311973,38000,0.05202546399696277,5.619717626840936,-103.82654001255241,0.007698283051846055
5.268378392618571,2,0.0788939588663041,0.42418527464600086,38000,0.013869731408156743,5.794428127499649,-103.83603251635087,0.00658305682347416
5.01542388931898,2,0.08015959807489412,0.4437794324930096,38000,0.0115038648119546,6.103527932006626,-103.85788872178023,0.006426611930102766
5.22758163489629,2,0.07889449316074484,0.43030764116628495,38000,0.006218121153518524,5.439505120460273,-103.86000610677763,0.005136411386701083
5.3582677758296455,2,0.08335795339812412,0.41428741357973237,38000,0.019428362312803454,5.464869638629437,-103.86993747531896,0.008313847136611938
5.448919296642264,2,0.08449142897149219,0.4085798880688152,38000,0.01788872436881988,5.180094193691433,-103.89252798391745,0.006042353810935305
5.53913600518465,2,0.08287153905460388,0.40498638520056185,38000,0.01151164138583532,5.5547979008983495,-103.90676097409967,0.007088369861206437
5.302326024730936,2,0.08132926987318514,0.41882627808910516,38000,0.03544985921736994,5.506004030895538,-103.90737381045956,0.005305192515583748
5.121850096085239,2,0.07763016608712028,0.4356381372317317,38000,0.04767464725693521,5.6407083917993885,-103.9242189021145,0.005758475173567688
5.463118696968905,2,0.08148542577678519,0.4120717288583309,38000,0.019324568389326065,5.712740144338131,-103.93252847862459,0.0072465257488252
5.454381114920255,2,0.08269150118843803,0.40926932519260034,38000,0.027906882643417744,5.006450436176692,-103.93340527953626,0.005295726944338075
5.129296719028998,2,0.07599483770479981,0.43668056084081963,38000,0.0476239958903247,5.747054436135495,-103.93503926703232,0.008520126739119765
4.784764192108581,2,0.0750833440500152,0.46387143661755587,38000,0.05862518794091174,4.997715348802985,-103.93822483383947,0.00864852127762469
5.482120971355161,2,0.08478915603099729,0.4073721249190733,38000,0.026193431068457135,5.235747021056577,-103.93867813565474,0.006496964746953532
5.412740721680225,2,0.0814841479641625,0.41332880762947743,38000,0.038197924943261734,5.453263186647242,-103.95396170761654,0.007292924688637719
5.253311837543465,2,0.08020720471899263,0.4247991445683853,38000,0.048347798444143664,5.395173809625713,-103.96273704682834,0.004428514384237659
5.643494442524396,2,0.088650097796496935,0.3936406786428493,38000,0.010993127933423035,5.263101367777789,-103.96332038916277,0.008410879725765253
5.613353695480497,2,0.08531380614477246,0.3989398420140633,38000,0.024269912030130895,6.051393089837526,-103.97880080957754,0.005947591407116379
5.411645395199218,2,0.08279405788357158,0.41149248373360786,38000,0.03279784064343758,4.738250928252043,-103.97898379218475,0.008007341358118333
5.733598773296219,2,0.09022378031709141,0.387491341583931,38000,0.01693525231143778,5.487706818497613,-103.98685823967324,0.00710437166285597
5.6603853120725125,2,0.08446399758357159,0.3945779030681936,38000,0.020235322937684146,4.905638493417835,-103.98997767782896,0.003806509743527123
5.770724226921703,2,0.08787379264517658,0.3875243462317096,38000,0.011721241651206572,4.870527947412714,-104.00068956746247,0.006808550902233338
5.643677708180795,2,0.08662319411955853,0.396366098441451,38000,0.032866456894700455,5.837004512906683,-104.00283591103106,0.009486707055578508
5.2879992720373625,2,0.08052307067965517,0.4229507405393204,38000,0.05311736919584799,6.028096836575643,-104.00774691918298,0.005810072830259858
5.298155667778662,2,0.08049485245339943,0.4197738696275415,38000,0.05235672861193155,5.402817464555339,-104.00812190637441,0.005759453476228014
5.68330725852396,2,0.08492269075290629,0.3934891133192086,38000,0.025945769109589505,4.799685704461656,-104.0221456623497,0.00817030778851753
5.497153672866833,2,0.08250860146278732,0.40517674559993166,38000,0.046620276286988456,5.132390772996823,-104.0291519080663,0.007100743024114964
5.575593196510233,2,0.08335993457031302,0.40254959374096877,38000,0.043598816768687376,6.079359644175976,-104.03769200120182,0.0058063780443072715
5.7805633034400845,2,0.08950044819282134,0.384898745748434,38000,0.03243284909618272,5.426597038154227,-104.03904558346056,0.00653509597450671
